Chr	Start	End	Cytoband	Gene	RefSeqName	Start.1	End.1	ks_stat	ks_p	log10_ks_p	n_events	Peak.Start	Peak.End	Peak.Start.1	Peak.End.1	type	arm	direction	telcent	negpos	iter	conf	n_right	n_left	ksby	log10_ksby	combined_sig	code
3	62384020	62861064	p14.2	CADPS	NM_003716	0.681648780416187	0.687052945693987	0.449979127530912	3.60139798064957e-05	4.44352888328032	27	62432931	90122826	0.682202865842065	0.99588623489171	esca	3p	del	tel	p	1	0.95	20	26	0.0044574924191831	2.3509093867526634	1.057860154755195	p
3	63088363	63110737	p14.2	LINC00698	NR_027104	0.6896278892285	0.68988135178945	0.449979127530912	3.60139798064957e-05	4.44352888328032	27	62432931	90122826	0.682202865842065	0.99588623489171	esca	3p	del	tel	p	1	0.95	20	26	0.0044574924191831	2.3509093867526634	1.057860154755195	p
3	63263913	63602597	p14.2	SYNPR	NM_001130003	0.691616597218786	0.695453359263684	0.449979127530912	3.60139798064957e-05	4.44352888328032	27	62432931	90122826	0.682202865842065	0.99588623489171	esca	3p	del	tel	p	1	0.95	20	26	0.0044574924191831	2.3509093867526634	1.057860154755195	p
3	63409271	63535727	p14.2	SYNPR-AS1	NR_046677	0.693263276888691	0.694695826348216	0.449979127530912	3.60139798064957e-05	4.44352888328032	27	62432931	90122826	0.682202865842065	0.99588623489171	esca	3p	del	tel	p	1	0.95	20	26	0.0044574924191831	2.3509093867526634	1.057860154755195	p
3	63638343	63650891	p14.2	SNTN	NM_001348756	0.695858305750843	0.696000455040858	0.449979127530912	3.60139798064957e-05	4.44352888328032	27	62432931	90122826	0.682202865842065	0.99588623489171	esca	3p	del	tel	p	1	0.95	20	26	0.0044574924191831	2.3509093867526634	1.057860154755195	p
3	63800785	63834312	p14.1	C3orf49	NM_001355236	0.697698520523602	0.698078329197999	0.449979127530912	3.60139798064957e-05	4.44352888328032	27	62432931	90122826	0.682202865842065	0.99588623489171	esca	3p	del	tel	p	1	0.95	20	26	0.0044574924191831	2.3509093867526634	1.057860154755195	p
3	63819545	63849599	p14.1	THOC7	NM_001285387	0.697911042095222	0.698251507090608	0.449979127530912	3.60139798064957e-05	4.44352888328032	27	62432931	90122826	0.682202865842065	0.99588623489171	esca	3p	del	tel	p	1	0.95	20	26	0.0044574924191831	2.3509093867526634	1.057860154755195	p
3	63846320	63847495	p14.1	THOC7-AS1	NR_104326	0.698214361129342	0.698227672048674	0.449979127530912	3.60139798064957e-05	4.44352888328032	27	62432931	90122826	0.682202865842065	0.99588623489171	esca	3p	del	tel	p	1	0.95	20	26	0.0044574924191831	2.3509093867526634	1.057860154755195	p
3	63850232	63989136	p14.1	ATXN7	NM_000333	0.698258677994384	0.699832243899725	0.449979127530912	3.60139798064957e-05	4.44352888328032	27	62432931	90122826	0.682202865842065	0.99588623489171	esca	3p	del	tel	p	1	0.95	20	26	0.0044574924191831	2.3509093867526634	1.057860154755195	p
3	63897193	63897448	p14.1	SCAANT1	NR_148359	0.698790672958393	0.698793561711099	0.449979127530912	3.60139798064957e-05	4.44352888328032	27	62432931	90122826	0.682202865842065	0.99588623489171	esca	3p	del	tel	p	1	0.95	20	26	0.0044574924191831	2.3509093867526634	1.057860154755195	p
3	63989697	63997917	p14.1	PSMD6-AS2	NR_038286	0.699838599155678	0.699931718948786	0.449979127530912	3.60139798064957e-05	4.44352888328032	27	62432931	90122826	0.682202865842065	0.99588623489171	esca	3p	del	tel	p	1	0.95	20	26	0.0044574924191831	2.3509093867526634	1.057860154755195	p
3	63996224	64009686	p14.1	PSMD6	NM_001271780	0.699912539896507	0.700065043382495	0.449979127530912	3.60139798064957e-05	4.44352888328032	27	62432931	90122826	0.682202865842065	0.99588623489171	esca	3p	del	tel	p	1	0.95	20	26	0.0044574924191831	2.3509093867526634	1.057860154755195	p
3	64053639	64088807	p14.1	PRICKLE2-AS1	NR_045697	0.700562962393016	0.700961361040709	0.449979127530912	3.60139798064957e-05	4.44352888328032	27	62432931	90122826	0.682202865842065	0.99588623489171	esca	3p	del	tel	p	1	0.95	20	26	0.0044574924191831	2.3509093867526634	1.057860154755195	p
3	64064036	64073039	p14.1	LINC00994	NR_033978	0.700680744204324	0.700782734167505	0.449979127530912	3.60139798064957e-05	4.44352888328032	27	62432931	90122826	0.682202865842065	0.99588623489171	esca	3p	del	tel	p	1	0.95	20	26	0.0044574924191831	2.3509093867526634	1.057860154755195	p
